"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus",3,7,12,3,2,14,5,14,0,55,25,5,4,35,33,16,26,27,6,3,7,5,12,22,13,14,7,25,4,7,22,0,95,0,2,21,1,13,0,24,13,17,17,0,0,9,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus",402,717,645,683,340,1101,475,1298,253,1574,1017,613,379,865,924,704,1192,1365,1328,480,665,757,1121,567,353,706,690,1003,311,267,1454,222,1549,206,268,548,327,252,124,1494,513,705,754,160,223,499,570
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Amphibacillus",17,12,4,1,3,13,14,82,4,34,18,13,8,17,39,9,52,11,8,11,14,6,1,6,5,8,16,17,2,6,7,0,58,4,1,6,5,4,0,17,8,18,10,0,3,13,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus",4,22,10,7,5,26,1,17,3,9,6,4,6,14,7,19,22,16,6,14,9,26,4,8,8,15,6,12,3,12,61,2,10,0,3,10,5,1,0,30,8,13,28,0,0,2,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus",8,39,21,42,23,66,31,68,6,76,46,21,16,58,32,37,80,55,34,23,21,23,61,22,14,42,56,49,6,13,49,4,100,6,9,20,9,7,3,65,17,31,34,4,1,20,17
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus",98,276,119,147,23,72,79,177,243,162,172,75,31,179,103,119,135,160,96,43,71,153,206,74,53,154,227,185,51,26,83,92,174,86,35,177,47,16,17,206,116,110,279,10,38,111,127
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus",26,41,66,59,32,56,22,81,66,111,47,43,20,31,42,68,88,100,83,27,92,69,257,41,18,41,50,91,14,11,89,31,124,23,17,39,24,8,5,87,31,42,143,8,9,24,53
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus",13,37,5,9,0,3,1,2,2,4,0,15,5,2,3,7,9,6,28,9,3,14,6,4,0,4,9,9,1,0,1,0,0,1,1,15,4,0,0,21,12,24,18,1,2,14,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus",2,2,3,3,3,16,6,7,3,23,11,7,13,3,2,7,11,6,12,0,4,5,20,3,1,1,5,6,1,1,8,4,23,5,4,5,0,2,1,35,2,9,10,0,0,3,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salimicrobium",1,2,3,3,2,2,8,32,6,22,9,2,3,16,9,14,23,21,15,12,28,7,5,1,3,8,10,9,3,2,5,1,14,1,1,3,2,2,0,14,8,7,4,1,0,1,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus",30,71,63,40,17,72,20,50,7,166,66,58,26,61,67,52,80,69,88,40,61,39,32,40,33,55,37,75,17,18,61,37,157,58,18,25,18,20,8,135,26,34,29,12,14,32,41
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus",3,6,13,6,7,19,11,23,0,39,14,4,9,16,22,25,27,28,19,7,8,4,13,19,11,9,17,21,6,11,1,3,15,4,1,7,2,5,1,28,18,16,24,0,0,0,14
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus",27,39,18,17,6,21,21,53,7,65,35,20,3,26,53,31,50,63,41,14,12,13,7,35,7,12,16,28,6,6,44,2,52,1,8,13,15,10,5,35,18,33,34,2,0,23,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus",0,0,8,0,0,3,1,2,0,2,1,1,0,3,1,0,0,0,1,0,0,1,3,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus",112,79,69,104,29,59,60,127,132,152,112,67,36,91,85,94,117,106,88,59,205,145,111,50,28,98,80,108,41,28,188,45,158,22,33,80,33,19,4,234,112,137,208,11,13,52,90
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina",3,8,12,16,15,28,11,15,1,28,14,13,4,14,15,9,20,33,33,3,4,21,12,11,4,14,17,14,5,3,44,6,20,4,11,9,4,1,6,48,9,8,13,2,4,9,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia",3,9,13,5,9,20,25,24,0,116,51,14,13,23,23,27,33,32,19,10,17,8,3,11,4,7,7,18,9,5,42,1,90,2,13,12,6,14,1,51,20,36,20,0,1,16,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Jeotgalibacillus",23,72,11,6,2,17,5,25,4,21,9,12,5,26,41,8,12,35,19,14,6,25,20,6,6,19,11,17,6,8,19,2,57,3,3,9,8,4,2,48,5,13,9,0,0,14,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus",9,27,24,10,8,18,6,18,0,50,33,8,4,39,23,39,12,15,14,16,18,16,12,16,13,15,7,30,14,7,37,2,42,2,7,10,9,12,5,19,8,4,5,2,3,20,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus",13,25,16,6,24,21,14,15,4,63,37,19,13,42,27,18,20,19,23,15,22,15,19,10,7,5,3,21,7,11,49,1,45,3,5,1,8,9,1,45,26,20,63,1,0,9,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria",58,117,95,86,82,239,65,145,13,278,130,96,97,158,152,82,134,234,192,69,95,108,113,94,41,54,42,175,40,52,279,21,232,15,28,29,45,28,3,269,32,57,49,7,13,92,73
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus",406,634,488,690,185,451,306,646,531,706,826,485,352,603,563,512,900,729,911,353,521,683,727,454,244,748,783,779,322,147,524,416,607,286,174,597,312,138,110,1283,507,588,736,124,199,354,572
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus",10,12,19,39,13,42,11,29,5,34,38,26,8,29,53,18,41,40,37,11,24,24,23,15,26,48,34,33,15,5,110,33,43,63,4,10,7,5,8,127,32,28,16,4,12,24,25
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus",18,18,24,40,2,1,4,9,2,38,89,24,14,33,52,12,40,19,23,8,11,32,19,20,16,63,64,79,16,8,19,57,68,33,8,41,31,13,7,52,71,34,51,3,11,22,89
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus",25,13,23,43,7,10,12,25,13,80,116,37,20,20,33,39,35,34,83,11,15,56,48,3,3,27,19,27,3,10,42,4,16,0,5,15,18,0,5,52,16,34,20,1,3,0,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus",48,44,40,52,11,64,12,69,60,25,38,30,12,87,44,32,52,48,32,35,62,52,26,63,32,130,149,128,56,13,53,99,135,101,20,64,18,7,8,116,60,48,79,9,20,72,107
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Kyrpidia",4,14,17,42,11,37,6,20,7,18,74,10,23,25,9,18,9,29,16,4,10,14,36,8,7,14,38,36,5,4,8,14,14,10,9,18,8,1,5,107,16,17,12,4,3,12,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus",22,16,5,28,2,4,5,4,9,15,15,14,4,24,7,15,15,14,9,16,8,34,14,19,3,14,23,43,7,9,13,9,12,7,12,19,27,1,5,20,39,40,36,5,2,9,34
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella",303,430,829,685,430,1024,2302,4472,775,6055,1828,3994,1789,831,2179,1827,3482,2145,1048,942,1155,266,420,2495,286,443,366,2827,580,161,118,53,1399,122,106,399,435,501,47,1193,1888,4176,3632,212,143,496,639
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium",30,23,30,29,12,49,40,60,201,65,47,56,30,123,97,64,103,25,147,44,29,75,35,38,8,63,62,118,30,17,149,3,87,3,30,76,18,7,3,86,54,81,118,6,7,34,83
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",295092,1416519,626843,174175,545668,953361,154748,597555,409061,1409209,666151,1161050,282246,1070844,581311,119198,333323,431245,797798,2228468,3247252,1376846,1538888,79862,139585,111405,45060,373584,16910,348308,717326,29351,396807,23906,48161,63079,179927,183574,2265,251140,34965,92241,50492,7130,21572,313354,121767
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus",87,394,164,134,126,216,117,462,69,428,206,169,9882,192,210,204,255,188,190,233,277,279,271,95,75,83,58,114,56,88,306,35,296,21,71,37,70,117,34,207,53,89,88,49,58,177,58
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus",16,69,72,51,19,51,33,142,38,141,85,79,31,110,70,71,135,159,99,24,83,51,56,13,14,37,35,65,32,15,280,3,192,16,175,40,48,19,4,87,36,52,49,8,5,20,42
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus",400,1296,656,480,245,789,750,1059,167,1532,1082,2344,624,2079,896,503,991,1175,1186,648,776,1979,2114,302,303,800,480,710,207,250,1814,194,1246,146,52887,2650,215,258,34,1533,283,453,423,48,72,432,400
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc",28,123,67,41,29,135,25,156,24,131,108,74,30,97,72,43,99,280,112,62,90,86,86,43,18,50,21,78,17,28,133,40,75,45,66,52,15,17,5,116,41,32,34,7,9,25,57
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Oenococcus",10,12,4,4,5,5,13,41,0,7,10,3,2,4,26,10,7,15,29,17,3,4,5,0,1,6,2,5,0,4,90,7,11,3,4,8,1,1,1,2,5,3,0,0,0,3,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella",37,101,41,30,31,70,20,46,16,79,57,57,25,128,87,73,160,59,41,186,72,45,32,25,10,34,27,71,3,5,153,8,55,9,96,47,15,9,2,80,41,72,59,2,8,13,51
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus",67,233,167,141,125,259,198,416,50,476,312,242,116,511,523,216,342,358,350,260,366,206,247,108,103,150,75,286,57,144,749,18,1190,23,77,60,64,113,5,393,96,127,122,9,10,143,155
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus",13,103,61,31,32,140,47,138,8,281,109,66,51,155,109,41,117,161,93,62,96,26,88,35,47,56,29,120,18,59,284,12,574,8,10,25,31,34,3,96,34,36,24,2,9,38,81
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Melissococcus",13,27,22,10,5,53,30,92,4,54,23,12,6,41,29,25,40,68,43,10,19,16,10,16,14,12,9,37,4,6,201,1,125,3,7,8,11,11,1,38,17,23,28,1,0,22,14
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus",3,10,19,22,7,21,15,24,3,53,25,24,15,19,17,16,29,25,27,7,9,9,6,11,11,20,14,17,3,11,34,2,59,2,15,14,4,4,5,36,25,35,33,1,5,7,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus",99,237,182,111,109,280,170,471,100,472,308,153,62,432,159,169,339,539,384,181,288,124,236,82,94,156,99,309,57,91,1450,46,1188,41,39,85,53,110,3,221,121,142,335,6,9,101,182
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium",18,127,80,55,49,155,58,152,16,203,137,48,34,210,81,101,175,216,150,51,83,45,92,22,48,94,43,178,28,80,485,10,833,12,7,17,29,62,2,193,57,81,119,1,4,80,89
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus",11,26,23,9,12,38,8,76,7,46,25,12,15,44,30,20,39,64,59,18,14,10,31,2,11,13,12,47,7,11,261,1,106,5,5,6,5,13,1,50,14,26,21,0,1,16,28
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca",9,107,60,50,48,171,74,206,21,147,122,34,36,210,97,71,125,328,130,42,89,49,71,24,66,70,37,94,30,67,439,9,690,22,27,16,41,53,3,105,17,49,22,4,5,47,61
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium",15,22,17,27,24,52,28,85,5,60,47,40,30,16,33,53,36,53,87,29,17,26,74,22,14,34,38,28,10,6,19,21,43,12,7,17,9,5,6,124,23,44,34,4,2,7,11
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halothermothrix",54,66,46,53,4,10,17,18,134,38,36,45,13,31,17,51,41,10,31,17,64,19,56,32,13,43,38,59,2,1,19,2,23,20,5,46,21,0,2,24,45,52,179,0,2,5,15
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Acetohalobium",0,3,3,18,12,45,13,15,2,15,14,5,8,22,8,14,19,8,70,8,2,27,26,7,0,6,6,5,5,0,1,0,2,4,2,12,1,0,0,22,19,17,18,0,1,14,7
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Halobacteroides",7,6,4,13,24,44,3,27,2,21,14,2,5,9,15,14,9,19,4,4,1,19,28,13,0,4,4,18,6,0,1,0,3,1,5,4,9,0,3,32,8,24,27,1,0,4,1
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter",13,7,26,34,10,30,30,90,4,63,37,31,21,54,49,53,103,57,74,16,14,54,55,24,12,28,51,58,26,4,24,6,23,2,11,18,20,4,11,90,19,62,70,10,18,26,28
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Ammonifex",9,7,4,47,3,12,9,22,1,32,24,19,9,31,7,9,20,34,14,12,15,12,12,7,9,15,9,20,8,22,15,6,34,8,5,19,10,0,1,15,19,24,8,0,3,3,24
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Moorella",53,27,34,60,4,37,48,105,46,82,186,83,15,101,33,65,147,107,35,17,25,20,6,37,21,41,90,55,13,8,45,20,49,10,11,57,19,2,8,26,31,36,11,10,3,10,44
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Carboxydothermus",34,6,6,3,0,3,10,44,3,11,5,16,5,7,10,11,15,1,22,3,13,3,7,8,8,5,17,13,4,0,3,8,6,4,4,15,8,0,6,36,8,15,9,1,3,5,9
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermacetogenium",12,17,5,42,2,3,8,2,26,4,15,29,8,13,10,28,24,1,30,31,88,24,7,21,15,43,28,27,9,6,22,18,15,10,8,20,17,5,0,20,40,46,41,2,6,5,30
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Caldanaerobacter",9,0,7,20,6,13,12,23,4,25,8,7,6,3,7,3,12,7,3,9,5,2,17,3,8,8,10,22,5,0,1,4,6,2,1,4,14,1,0,13,11,30,26,0,1,0,3
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Tepidanaerobacter",11,21,9,8,3,12,17,30,5,35,19,29,8,15,12,31,37,44,36,19,13,19,31,18,7,12,22,33,10,7,13,2,7,3,4,26,3,0,4,35,18,34,34,3,1,12,4
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae|g__Coprothermobacter",38,40,34,51,7,6,13,7,205,8,6,8,1,10,14,14,11,2,2,3,167,18,2,12,0,2,1,7,3,1,0,3,6,0,1,0,1,1,1,11,5,4,2,0,0,2,13
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae|g__Thermodesulfobium",1,3,4,8,1,4,0,3,1,8,8,9,5,3,3,2,13,27,27,1,5,8,23,6,4,0,12,6,4,2,11,0,4,1,0,5,3,1,0,15,2,5,3,0,0,0,3
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis|g__Thermoanaerobacterium",8,10,34,40,18,35,27,59,15,84,45,26,24,44,53,59,50,43,139,27,31,35,27,14,6,24,32,43,12,6,31,15,21,8,15,26,9,0,2,91,18,53,66,5,6,7,5
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis|g__Caldicellulosiruptor",12,9,36,56,21,39,53,186,22,129,78,56,25,61,56,76,129,168,55,43,79,82,148,21,11,36,71,55,13,3,59,27,48,11,21,32,25,3,4,138,24,76,56,8,7,13,12
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis|g__Thermosediminibacter",9,5,9,16,3,11,3,21,10,22,7,35,12,4,17,17,16,12,9,6,3,31,13,6,0,10,12,35,11,6,22,4,10,6,4,21,14,1,1,44,31,49,24,9,14,19,12
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_IV_Incertae_Sedis|g__Mahella",1,7,13,16,1,5,7,43,5,21,6,6,5,15,11,23,22,20,14,5,5,7,11,6,3,3,15,8,9,0,0,2,2,6,2,7,5,2,2,10,5,39,26,3,1,1,3
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium",354,647,673,1529,611,1803,1123,2954,386,2558,1525,1118,762,1070,1446,1904,2962,3045,2053,917,1315,1118,2204,751,287,829,1328,1524,422,260,1132,420,1266,307,282,756,513,175,168,3818,1088,1968,2030,166,184,451,495
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus_Arthromitus",6,8,15,40,3,23,23,39,4,50,29,35,9,22,27,54,84,21,33,8,17,21,48,19,7,21,48,43,8,15,36,7,13,8,14,23,7,3,9,108,28,40,65,3,6,9,22
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Alkaliphilus",25,14,26,54,10,45,43,115,7,62,38,57,23,43,68,80,111,49,61,46,46,56,68,48,13,21,17,77,18,10,19,8,32,9,12,47,21,1,1,95,39,89,165,1,2,10,19
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Geosporobacter",3,2,20,10,2,24,19,27,8,52,19,30,8,28,26,46,44,11,16,24,12,11,17,22,6,23,16,66,23,5,8,3,29,3,7,25,30,1,3,40,42,82,87,6,3,14,15
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Heliobacteriaceae|g__Heliobacterium",25,25,16,47,1,5,8,27,3,30,41,14,17,29,14,12,47,18,19,18,23,35,21,18,8,70,72,60,29,6,33,25,61,41,11,42,29,4,5,97,63,50,32,6,17,30,58
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae|g__Syntrophomonas",4,13,9,14,4,16,10,24,2,16,21,21,24,30,34,21,39,25,38,6,5,7,18,10,2,37,24,20,8,1,3,2,6,0,5,18,7,0,1,20,32,25,18,1,1,10,18
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae|g__Syntrophothermus",9,4,8,49,9,30,2,10,4,15,14,20,16,5,3,35,5,7,8,2,4,15,9,21,3,5,4,33,24,4,66,5,23,6,13,16,36,2,1,14,13,30,10,4,3,7,25
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio",46,39,163,173,36,81,118,357,53,410,157,216,67,262,266,253,464,302,280,198,270,383,119,53,20,108,123,147,79,38,128,105,149,42,19,128,52,9,14,680,187,295,265,26,37,62,88
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia",53,84,106,175,45,96,85,160,115,327,143,248,60,237,303,221,534,249,343,152,179,330,80,41,34,102,87,103,23,48,154,132,138,45,15,116,52,6,7,510,168,376,339,13,11,82,75
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes",22,25,79,321,21,86,89,311,41,265,130,106,45,150,140,191,416,257,170,69,127,175,95,56,26,68,116,83,33,24,56,39,84,14,13,71,33,10,8,1034,69,142,96,11,8,18,57
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia",32,34,72,139,15,66,70,209,45,180,80,134,53,189,204,198,321,188,310,150,215,177,48,42,16,140,107,70,31,24,70,61,107,32,21,106,33,8,9,629,105,225,181,6,19,18,43
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Cellulosilyticum",5,33,36,22,12,31,23,91,10,99,54,33,12,50,75,48,92,47,45,25,21,28,24,37,4,16,34,60,16,4,18,9,61,3,12,25,28,9,5,153,42,83,132,3,5,13,18
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium",333,681,821,1932,421,560,652,2296,1056,1712,617,1190,439,2142,2200,1890,3803,2665,4707,1765,2963,2074,711,319,72,582,579,729,446,339,1014,777,1482,429,152,535,189,38,86,3220,1356,2102,1757,103,172,352,300
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella",16,22,35,58,12,34,54,159,10,66,70,53,12,246,432,80,224,90,129,45,60,83,35,28,6,37,53,68,18,16,29,19,62,15,12,49,21,2,7,98,65,99,120,2,8,35,19
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Filifactor",1656,778,12627,1121,2729,2064,6530,7207,3730,4742,1103,5594,1314,1330,1715,232431,40985,768,1082,1854,2983,1135,1271,34827,167,599,768,220116,19984,306,237,117,415,65,12818,16774,20816,679,2024,3328,61214,140243,138091,6178,4529,2667,1175
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Acetoanaerobium",21,20,25,74,6,35,75,306,14,86,62,30,18,41,108,85,163,121,41,56,90,29,80,28,9,16,38,65,17,6,5,8,41,8,8,18,13,4,3,164,31,77,129,3,3,7,25
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptoclostridium",10,7,16,19,4,8,29,66,8,92,35,50,9,45,38,79,92,37,14,30,23,25,13,17,6,29,32,42,20,10,4,7,17,5,9,30,38,5,2,43,32,91,89,8,6,17,22
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides",384,151,244,494,205,519,401,646,200,919,378,2074,385,323,255,1088,1527,232,478,603,300,419,334,357,43,150,243,1163,147,237,137,30,164,35,132,503,144,15,24,576,681,1733,2907,155,91,374,226
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium",86,125,145,294,87,243,147,434,86,747,341,252,120,329,280,321,714,462,418,237,314,386,182,120,21,132,166,265,54,52,165,97,234,60,38,218,71,51,13,781,233,588,622,24,28,93,137
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Acetobacterium",4,2,4,11,3,15,13,19,3,38,51,21,19,45,12,31,39,24,146,5,9,20,13,22,1,23,31,33,9,5,24,2,10,6,4,30,16,0,1,46,32,32,33,1,2,21,4
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfotomaculum",91,73,102,128,70,113,74,120,41,216,142,146,64,150,178,145,259,120,207,74,196,125,72,106,42,198,149,194,54,39,154,61,111,101,37,119,88,12,14,168,109,133,114,25,17,35,92
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfitobacterium",43,62,28,72,17,54,33,46,29,54,96,94,37,66,80,61,102,24,133,24,24,103,79,40,16,81,81,123,14,27,67,36,51,27,19,85,38,4,6,187,101,101,98,12,11,119,40
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Syntrophobotulus",11,11,11,27,1,3,8,27,6,24,9,25,16,10,19,31,31,20,10,14,35,29,10,11,5,15,4,40,2,0,1,19,32,1,2,20,9,0,2,9,27,50,29,4,1,2,6
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Dehalobacter",16,13,16,40,9,8,9,33,5,47,33,15,5,16,38,42,23,2,48,12,18,22,14,44,3,25,12,26,17,8,11,17,24,5,15,17,23,16,25,65,15,25,28,16,10,15,23
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Desulfosporosinus",59,36,24,26,6,13,8,19,115,46,43,28,15,20,16,50,72,21,38,24,119,52,14,44,10,30,45,108,15,7,38,22,36,12,13,55,22,3,4,177,54,97,127,5,8,9,32
