"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Ignavibacteriae",26,18,31,77,15,35,54,89,64,102,141,27,22,52,23,63,100,11,27,12,17,40,41,14,3,18,36,23,7,19,39,17,17,4,13,21,11,1,1,120,35,33,58,5,4,9,22
"d__Bacteria|p__Gemmatimonadetes",14,29,25,30,12,21,5,26,51,21,35,16,12,37,27,22,28,12,13,6,13,26,15,31,13,31,42,52,22,4,40,9,65,16,5,15,21,7,6,43,13,9,4,10,9,20,41
"d__Bacteria|p__Candidatus_Cloacimonetes",34,59,90,84,4,12,181,209,38,314,582,32,11,247,18,56,177,207,99,47,75,15,17,29,20,89,191,16,4,4,34,10,25,9,7,24,9,0,12,20,17,22,25,7,2,6,9
"d__Bacteria|p__Firmicutes",469751,2032858,877347,712947,1240351,2899194,308151,853033,492168,2496956,1041230,1502566,408958,1811724,1034289,912416,975712,1661402,2116459,2441568,3353192,2020271,1876404,259293,212229,510565,553615,997862,84458,656479,2323195,207571,791428,163189,241304,492721,222993,197549,26071,1260123,326516,432433,380871,31218,120125,1555857,458275
"d__Bacteria|p__Deinococcus-Thermus",355,561,428,517,93,314,205,497,640,302,455,265,152,739,511,323,462,570,229,224,486,340,481,441,232,801,663,1292,386,190,828,789,1089,919,150,550,278,177,62,584,706,627,1216,99,258,543,761
"d__Bacteria|p__Armatimonadetes",23,6,9,16,3,8,2,37,5,11,4,7,6,5,4,7,34,14,7,11,13,16,7,14,3,11,5,20,5,12,12,22,3,12,6,7,14,1,0,5,15,10,9,9,6,8,24
"d__Bacteria|p__Chloroflexi",178,323,1509,312,186,142,143,193,1462,397,332,296,83,365,242,14742,514,219,234,250,207,364,218,13917,115,355,1284,46961,16947,72,199,246,316,185,1381,1755,22327,74,280,431,66260,42372,99891,9109,3339,5626,22772
"d__Bacteria|p__Actinobacteria",316416,337734,172157,469923,64426,99029,10514,26519,502944,79045,133392,114391,47992,113610,207090,19180,36263,68631,192329,287772,225593,156198,43659,99618,174805,829602,618295,1340752,218958,171926,994617,1572450,1871055,1151499,120742,466190,591714,325354,89981,589141,793449,1176092,1119339,51837,564019,1164228,1467689
"d__Bacteria|p__Tenericutes",482,310,431,637,393,841,530,1072,306,1384,650,621,344,733,883,695,1033,1215,624,218,426,667,1046,1063,368,557,775,1481,611,660,659,373,1000,378,764,1177,458,325,381,1219,707,969,1615,593,541,379,875
"d__Bacteria|p__Cyanobacteria",659,767,822,869,347,1360,393,1623,707,839,957,554,361,1181,1233,602,1266,1230,765,288,488,1195,1398,671,417,908,904,1058,436,191,545,395,1054,571,222,574,438,174,103,1064,628,630,765,194,241,458,803
