,Domain,Phylum,Class,Order,Family,Genus,Species,1.T0,1.T1,1.T2,1.T3,1.T4,10.T1,10.T2,10.T3,10.T4,11.T0,11.T1,11.T2,11.T3,11.T4,12.T1,12.T2,12.T3,12.T4,13.T1,13.T2,13.T3,13.T4,14.T1,14.T2,14.T3,14.T4,15.T0,15.T1,15.T2,15.T3,15.T4,16.T1,16.T2,16.T3,16.T4,17.T1,17.T2,17.T3,17.T4,18.T1,18.T2,18.T3,18.T4,19.T1,19.T2,19.T3,19.T4,2.T1,2.T2,2.T3,2.T4,20.T1,20.T2,20.T3,20.T4,21.T0,21.T1,21.T3,21.T4,22.T0,22.T1,22.T2,22.T3,22.T4,23.T1,23.T2,23.T3,23.T4,24.T1,24.T2,24.T3,24.T4,25.T1,25.T2,25.T3,25.T4,26.T1,26.T2,26.T3,26.T4,27.T1,27.T2,27.T3,27.T4,28.T1,28.T2,28.T3,28.T4,29.T1,29.T2,29.T3,29.T4,3.T1,3.T2,3.T3,3.T4,30.T1,30.T2,30.T3,30.T4,31.T0,31.T1,31.T2,31.T3,31.T4,32.T1,32.T2,32.T3,32.T4,33.T0,33.T1,33.T2,33.T4,34.T1,34.T2,34.T3,34.T4,35.T1,35.T2,35.T3,35.T4,36.T1,36.T2,36.T3,36.T4,37.T1,37.T2,37.T3,37.T4,38.T1,38.T2,38.T3,38.T4,39.T1,39.T2,39.T3,39.T4,4.T1,4.T2,4.T3,4.T4,40.T1,40.T2,40.T3,40.T4,41.T0,41.T1,41.T2,41.T3,41.T4,42.T1,42.T2,42.T3,42.T4,43.T1,43.T2,43.T3,43.T4,44.T1,44.T2,44.T3,44.T4,45.T0,45.T1,45.T2,45.T3,45.T4,46.T1,46.T2,46.T3,46.T4,47.T1,47.T2,47.T3,47.T4,48.T1,48.T2,48.T3,48.T4,49.T1,49.T2,49.T3,49.T4,5.T0,5.T1,5.T2,5.T3,5.T4,50.T1,50.T2,50.T3,50.T4,51.T0,51.T1,51.T2,51.T3,51.T4,52.T1,52.T2,52.T3,52.T4,53.T1,53.T2,53.T3,53.T4,54.T1,54.T2,54.T3,55.T0,55.T1,55.T2,55.T3,55.T4,56.T1,56.T2,56.T3,56.T4,57.T1,57.T2,57.T3,57.T4,58.T1,58.T2,58.T3,58.T4,59.T1,59.T2,59.T3,59.T4,6.T1,6.T2,6.T3,6.T4,60.T1,60.T2,60.T3,60.T4,7.T1,7.T2,7.T3,7.T4,8.T1,8.T2,8.T3,8.T4,9.T1,9.T2,9.T3,9.T4,N1,N2,P1,P2
11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,94.0
15,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Hydrotalea,uncultured_bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,85.0,18.0,16.0,0.0,48.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,0.0,70.0,38.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,36.0,0.0,36.0,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,30.0,12.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,50.0,31.0,0.0,0.0,20.0,0.0,0.0,0.0,93.0,417.0,0.0,0.0,55.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,53.0,33.0,0.0,0.0,21.0,57.0,0.0,0.0,35.0,55.0,0.0,0.0,31.0,0.0,0.0,11.0,25.0,163.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,33.0,84.0,0.0,0.0,3.0,81.0,153.0,3.0,0.0,85.0,232.0,0.0,0.0,98.0,92.0,0.0,0.0,40.0,0.0,14.0,0.0,71.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,24.0,115.0,0.0,0.0,84.0,42.0,0.0,0.0,45.0,198.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
17,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,20.0,174.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,32.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,136.0,360.0,377.0,45.0,113.0,234.0,0.0,0.0,78.0,52.0,138.0,0.0,104.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,159.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,131.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,26.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,68.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,165.0,1303.0,0.0,0.0,15.0,93.0,950.0,0.0,0.0,143.0,1129.0,0.0,0.0,60.0,1020.0,34.0,0.0,43.0,348.0,8.0,0.0,0.0,270.0,0.0,0.0,0.0,528.0,0.0,0.0,159.0,196.0,0.0,53.0,0.0,293.0,0.0,0.0,0.0,54.0,0.0,0.0,147.0,589.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,61.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,80.0,18.0,0.0,0.0,0.0,31.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,3.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,430.0,0.0,0.0,13.0,161.0,204.0,0.0,0.0,30.0,436.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,58.0,0.0,0.0,28.0,167.0,0.0,0.0,78.0,80.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,8.0,0.0,0.0,53.0,239.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,50.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,668.0,971.0,122.0,664.0,11574.0,230.0,67.0,54.0,0.0,329.0,109.0,31.0,0.0,0.0,5076.0,333.0,600.0,0.0,310.0,128.0,52.0,1943.0,145.0,66.0,87.0,16.0,668.0,234.0,0.0,233.0,345.0,607.0,281.0,205.0,0.0,131.0,111.0,42.0,0.0,124.0,0.0,43.0,6.0,22.0,20.0,498.0,0.0,234.0,1384.0,185.0,3438.0,495.0,0.0,125.0,138.0,191.0,403.0,153.0,47.0,161.0,145.0,181.0,74.0,256.0,181.0,300.0,42.0,68.0,369.0,322.0,93.0,110.0,626.0,693.0,45.0,30.0,94.0,102.0,22.0,50.0,0.0,0.0,162.0,117.0,112.0,0.0,54.0,0.0,588.0,625.0,569.0,209.0,34.0,0.0,94.0,0.0,696.0,44.0,26.0,52.0,116.0,103.0,0.0,0.0,0.0,206.0,0.0,0.0,34.0,151.0,0.0,84.0,25.0,18.0,27.0,94.0,38.0,0.0,102.0,36.0,115.0,2196.0,1561.0,909.0,0.0,567.0,0.0,46.0,0.0,675.0,25.0,92.0,0.0,0.0,21.0,23.0,24.0,166.0,912.0,162.0,273.0,0.0,0.0,148.0,8817.0,203.0,782.0,7998.0,124.0,0.0,2883.0,4020.0,16632.0,9039.0,1550.0,2638.0,2058.0,1084.0,133.0,1348.0,0.0,1152.0,163.0,524.0,149.0,2714.0,4802.0,77.0,138.0,1138.0,2707.0,2051.0,2756.0,18313.0,3784.0,642.0,3693.0,4834.0,1712.0,623.0,7922.0,15065.0,3813.0,8.0,95.0,0.0,150.0,0.0,3381.0,2630.0,10915.0,2174.0,1853.0,1839.0,359.0,2432.0,749.0,1093.0,1711.0,1664.0,79.0,2042.0,1172.0,983.0,78.0,2143.0,591.0,1750.0,7507.0,5702.0,2485.0,223.0,350.0,1067.0,1418.0,20.0,342.0,675.0,3929.0,837.0,545.0,2209.0,1723.0,242.0,2128.0,763.0,2330.0,2011.0,251.0,73.0,17.0,78.0,22.0,657.0,5405.0,5952.0,849.0,0.0,123.0,17.0,27.0,271.0,49.0,728.0,63.0,1957.0,677.0,311.0,714.0,34.0,22.0,4967.0,7323.0
26,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum,91.0,130.0,0.0,64.0,23.0,0.0,25.0,36.0,0.0,24.0,0.0,0.0,0.0,0.0,1178.0,0.0,64.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,0.0,0.0,30.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,324.0,0.0,0.0,87.0,7.0,0.0,123.0,0.0,117.0,62.0,0.0,0.0,22.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,148.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,233.0,92.0,73.0,44.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,382.0,269.0,205.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,180.0,0.0,0.0,0.0,19.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,32.0,264.0,1188.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1463.0,0.0,0.0,109.0,53.0,0.0,218.0,0.0,0.0,0.0,819.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1217.0,1515.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,133.0,0.0,0.0,0.0,0.0,1156.0,1910.0
27,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,,0.0,244.0,27.0,17.0,0.0,22.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1120.0,54.0,53.0,0.0,83.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,170.0,48.0,0.0,0.0,0.0,64.0,0.0,62.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,75.0,526.0,74.0,0.0,16.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,95.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,13.0,0.0,0.0,0.0,23.0,0.0,143.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,454.0,419.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,27.0,0.0,0.0,11.0,0.0,91.0,128.0,34.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,100.0,423.0,430.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,39.0,0.0,22.0,18.0,38.0,37.0,55.0,0.0,0.0,0.0,0.0,49.0,24.0,0.0,0.0,0.0,0.0,0.0,985.0,0.0,0.0,0.0,26.0,0.0,160.0,0.0,0.0,0.0,611.0,0.0,0.0,431.0,17.0,0.0,0.0,0.0,309.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1153.0,903.0,104.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,482.0,262.0,7.0,0.0,0.0,0.0,1462.0,1402.0
